catalog_id,tif,minxy,maxxy
103001006D44B500,3000231.tif,"(-95.361328125, 28.65234375)","(-95.2734375, 28.740234375)"
103001006D44B500,3002012.tif,"(-95.44921875, 28.916015625)","(-95.361328125, 29.00390625)"
103001006D44B500,3002003.tif,"(-95.537109375, 28.916015625)","(-95.44921875, 29.00390625)"
103001006D44B500,3000212.tif,"(-95.44921875, 28.564453125)","(-95.361328125, 28.65234375)"
103001006D44B500,3000121.tif,"(-95.185546875, 28.30078125)","(-95.09765625, 28.388671875)"
103001006D44B500,3002201.tif,"(-95.537109375, 29.1796875)","(-95.44921875, 29.267578125)"
103001006D44B500,3000123.tif,"(-95.185546875, 28.388671875)","(-95.09765625, 28.4765625)"
103001006D44B500,3002103.tif,"(-95.185546875, 28.916015625)","(-95.09765625, 29.00390625)"
103001006D44B500,3000301.tif,"(-95.185546875, 28.4765625)","(-95.09765625, 28.564453125)"
103001006D44B500,3002001.tif,"(-95.537109375, 28.828125)","(-95.44921875, 28.916015625)"
103001006D44B500,3000132.tif,"(-95.09765625, 28.388671875)","(-95.009765625, 28.4765625)"
103001006D44B500,3000202.tif,"(-95.625, 28.564453125)","(-95.537109375, 28.65234375)"
103001006D44B500,3000021.tif,"(-95.537109375, 28.30078125)","(-95.44921875, 28.388671875)"
103001006D44B500,3002021.tif,"(-95.537109375, 29.00390625)","(-95.44921875, 29.091796875)"
103001006D44B500,3000023.tif,"(-95.537109375, 28.388671875)","(-95.44921875, 28.4765625)"
103001006D44B500,3000213.tif,"(-95.361328125, 28.564453125)","(-95.2734375, 28.65234375)"
103001006D44B500,3000210.tif,"(-95.44921875, 28.4765625)","(-95.361328125, 28.564453125)"
103001006D44B500,3002211.tif,"(-95.361328125, 29.1796875)","(-95.2734375, 29.267578125)"
103001006D44B500,3002000.tif,"(-95.625, 28.828125)","(-95.537109375, 28.916015625)"
103001006D44B500,3002132.tif,"(-95.09765625, 29.091796875)","(-95.009765625, 29.1796875)"
103001006D44B500,3000222.tif,"(-95.625, 28.740234375)","(-95.537109375, 28.828125)"
103001006D44B500,3000223.tif,"(-95.537109375, 28.740234375)","(-95.44921875, 28.828125)"
103001006D44B500,3002112.tif,"(-95.09765625, 28.916015625)","(-95.009765625, 29.00390625)"
103001006D44B500,3000322.tif,"(-95.2734375, 28.740234375)","(-95.185546875, 28.828125)"
103001006D44B500,3000022.tif,"(-95.625, 28.388671875)","(-95.537109375, 28.4765625)"
1040010030BE1200,2110312.tif,"(-96.50390625, 28.564453125)","(-96.416015625, 28.65234375)"
1040010030BE1200,2113021.tif,"(-96.240234375, 29.00390625)","(-96.15234375, 29.091796875)"
1040010030BE1200,2110132.tif,"(-96.50390625, 28.388671875)","(-96.416015625, 28.4765625)"
1040010030BE1200,2111002.tif,"(-96.328125, 28.212890625)","(-96.240234375, 28.30078125)"
1040010030BE1200,2113023.tif,"(-96.240234375, 29.091796875)","(-96.15234375, 29.1796875)"
1040010030BE1200,2113002.tif,"(-96.328125, 28.916015625)","(-96.240234375, 29.00390625)"
1040010030BE1200,2110130.tif,"(-96.50390625, 28.30078125)","(-96.416015625, 28.388671875)"
1040010030BE1200,2111222.tif,"(-96.328125, 28.740234375)","(-96.240234375, 28.828125)"
1040010030BE1200,2112311.tif,"(-96.416015625, 29.1796875)","(-96.328125, 29.267578125)"
1040010030BE1200,2111223.tif,"(-96.240234375, 28.740234375)","(-96.15234375, 28.828125)"
1040010030BE1200,2112310.tif,"(-96.50390625, 29.1796875)","(-96.416015625, 29.267578125)"
1040010030BE1200,2113000.tif,"(-96.328125, 28.828125)","(-96.240234375, 28.916015625)"
1040010030BE1200,2112130.tif,"(-96.50390625, 29.00390625)","(-96.416015625, 29.091796875)"
1040010030BE1200,2110330.tif,"(-96.50390625, 28.65234375)","(-96.416015625, 28.740234375)"
1040010030BE1200,2113001.tif,"(-96.240234375, 28.828125)","(-96.15234375, 28.916015625)"
1040010030BE1200,2113022.tif,"(-96.328125, 29.091796875)","(-96.240234375, 29.1796875)"
1040010030BE1200,2111202.tif,"(-96.328125, 28.564453125)","(-96.240234375, 28.65234375)"
1040010030BE1200,2111203.tif,"(-96.240234375, 28.564453125)","(-96.15234375, 28.65234375)"
1040010030BE1200,2112132.tif,"(-96.50390625, 29.091796875)","(-96.416015625, 29.1796875)"
1040010030BE1200,2110113.tif,"(-96.416015625, 28.212890625)","(-96.328125, 28.30078125)"
1040010030BE1200,2112131.tif,"(-96.416015625, 29.00390625)","(-96.328125, 29.091796875)"
1040010030BE1200,2110311.tif,"(-96.416015625, 28.4765625)","(-96.328125, 28.564453125)"
1040010030BE1200,2111221.tif,"(-96.240234375, 28.65234375)","(-96.15234375, 28.740234375)"
1040010030BE1200,2113020.tif,"(-96.328125, 29.00390625)","(-96.240234375, 29.091796875)"
1040010030BE1200,2111200.tif,"(-96.328125, 28.4765625)","(-96.240234375, 28.564453125)"
1040010030BE1200,2113200.tif,"(-96.328125, 29.1796875)","(-96.240234375, 29.267578125)"
1040010030BE1200,2112113.tif,"(-96.416015625, 28.916015625)","(-96.328125, 29.00390625)"
1040010030BE1200,2112110.tif,"(-96.50390625, 28.828125)","(-96.416015625, 28.916015625)"
